Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki
ACP,2004/Q4,6.55,4.26,0.02,1 313.53,23.01,1.21,1.03,27.17,-4.77,,33.99,1.48,21.97,33.10,0.32%,0.08%,4.46%,0.09%,5.43%,-1.11%,19.58%,4.06%,-1.68%,108.82%,0.73,2.84,0.63,0.34,0.93,0.42,1.34,0.77,292 874 000,9.04,127 506 000,3.94,0.57,0.93,0.16,0.89,0.96,0.32,0.55,-0.02,-0.04,2.89,126,229,19.74,18,1.66,2.00,0.91,144,-85
ACP,2005/Q4,11.27,3.46,1.75,22.32,21.18,1.84,2.06,18.94,-1.01,,42.91,2.03,17.52,20.83,15.50%,6.31%,9.72%,8.25%,7.95%,9.83%,18.06%,7.44%,105.47%,52.35%,0.59,1.45,0.41,0.32,1.29,0.58,1.07,0.97,279 022 000,4.52,98 395 000,1.60,0.91,1.29,0.21,1.25,1.31,0.45,0.75,0.13,0.22,3.46,105,145,20.74,18,1.96,2.10,1.01,123,-22
ACP,2006/Q1,11.50,3.30,1.86,20.40,21.42,1.77,2.27,16.70,-0.63,,41.02,1.91,15.17,18.07,16.16%,8.06%,10.59%,8.67%,8.84%,10.65%,19.51%,9.85%,93.44%,87.23%,0.49,0.97,0.31,0.41,1.21,0.65,1.06,0.98,212 622 000,3.12,78 573 000,1.15,0.92,1.20,0.19,1.21,1.38,0.36,0.78,0.13,0.17,3.41,107,139,19.01,19,1.94,1.93,0.97,126,-13
ACP,2006/Q2,11.24,3.21,1.60,22.52,22.77,1.59,1.77,20.41,-0.12,,40.74,1.79,18.06,23.03,14.26%,7.00%,7.77%,7.04%,8.16%,8.63%,20.15%,7.73%,67.33%,70.99%,0.50,1.03,0.36,0.35,1.33,0.67,1.01,0.99,174 591 000,3.08,116 720 000,2.06,0.98,1.33,0.19,1.43,1.52,0.61,0.73,0.17,0.22,3.51,104,134,20.23,18,1.92,1.94,0.96,122,-12
ACP,2006/Q3,12.43,3.22,2.27,17.60,24.26,1.65,1.64,24.33,0.55,72.68,44.14,1.82,21.08,26.84,18.28%,9.29%,6.78%,9.37%,7.38%,9.63%,18.31%,6.72%,62.28%,59.86%,0.49,0.96,0.33,0.34,1.38,0.68,0.96,0.99,175 272 000,3.32,104 270 000,1.98,1.03,1.38,0.19,1.51,1.60,0.64,0.81,0.19,0.24,3.67,100,130,23.43,16,1.95,2.01,0.99,116,-14
ACP,2006/Q4,13.52,3.71,2.96,16.95,19.77,2.54,1.80,27.96,2.15,23.33,53.98,2.73,23.45,30.07,21.91%,10.88%,9.08%,14.98%,9.70%,15.03%,23.40%,6.59%,269.95%,,0.50,1.00,0.32,0.27,1.55,0.65,0.86,1.01,175 935 000,3.04,95 252 000,1.64,1.18,1.55,0.20,1.62,1.69,0.71,0.83,0.24,0.44,3.11,117,149,18.62,20,1.58,1.67,0.81,137,-12
ACP,2007/Q1,31.72,2.30,1.97,36.98,13.02,5.60,1.55,46.88,3.87,18.83,68.94,5.30,35.99,44.37,6.21%,4.56%,11.94%,15.13%,12.37%,16.39%,26.53%,3.60%,117.11%,,0.23,0.31,0.08,0.52,1.16,0.79,0.72,0.77,115 653 000,1.30,-181 461 000,-2.04,1.07,1.16,0.66,1.79,1.87,1.00,0.73,0.15,0.69,3.29,111,144,22.34,16,1.48,1.07,0.62,127,-17
ACP,2007/Q2,32.13,2.65,2.50,33.96,16.85,5.04,2.32,36.64,3.20,26.55,81.84,4.86,29.63,35.28,7.79%,5.53%,13.77%,14.85%,13.86%,17.71%,27.32%,5.12%,98.88%,,0.24,0.34,0.07,0.60,1.10,0.76,0.77,0.80,221 545 000,1.73,-146 798 000,-1.14,1.03,1.10,0.47,1.57,1.65,0.72,0.79,0.12,0.47,3.43,106,136,24.43,15,1.57,0.92,0.58,121,-15
ACP,2007/Q3,31.33,2.37,2.82,26.32,20.64,3.59,3.37,22.02,-0.36,,72.35,3.50,18.33,21.48,8.99%,5.87%,16.31%,13.65%,15.99%,18.71%,30.59%,7.02%,95.41%,,0.29,0.45,0.12,0.39,1.02,0.73,1.03,0.94,418 913 000,2.29,-83 815 000,-0.46,0.91,1.02,0.29,1.27,1.33,0.49,0.73,0.07,0.25,3.47,105,138,25.70,14,1.66,0.81,0.55,119,-19
ACP,2007/Q4,37.64,1.95,3.15,23.34,25.10,2.93,4.63,15.87,-3.47,,74.14,2.95,13.80,16.01,8.37%,4.94%,18.45%,12.55%,18.06%,18.36%,33.84%,7.26%,328.26%,67.62%,0.35,0.59,0.26,0.19,1.05,0.74,1.19,0.99,806 277 000,2.94,32 642 000,0.12,0.84,1.05,0.38,1.43,1.49,0.51,0.88,0.10,0.39,3.48,105,132,27.52,13,1.78,0.76,0.53,118,-14
ACP,2008/Q1,38.50,1.89,3.67,19.78,29.11,2.49,5.46,13.29,-10.56,,77.24,2.65,12.29,14.14,9.53%,5.35%,18.76%,12.61%,18.45%,18.66%,35.30%,7.96%,247.16%,35.39%,0.38,0.68,0.30,0.16,0.94,0.73,1.68,1.22,1 053 090 000,3.28,237 230 000,0.74,0.72,0.94,0.25,1.02,1.08,0.38,0.59,0.02,0.06,3.58,102,138,28.23,13,1.96,0.74,0.54,115,-23
ACP,2008/Q2,34.52,1.65,3.28,17.37,25.12,2.27,4.62,12.33,-5.23,,59.48,2.37,10.80,12.86,9.51%,5.04%,18.41%,13.06%,18.27%,19.42%,34.98%,7.10%,266.44%,78.70%,0.35,0.66,0.28,0.50,0.93,0.68,1.30,0.94,1 263 274 000,2.96,192 258 000,0.45,0.73,0.93,0.30,1.25,1.32,0.50,0.69,0.07,0.28,3.77,97,135,27.72,13,2.08,0.76,0.56,110,-25
ACP,2008/Q3,35.41,1.75,3.69,16.77,30.74,2.01,5.58,11.10,-4.32,,64.03,2.08,9.57,11.48,10.43%,5.78%,18.14%,12.01%,18.07%,18.25%,34.93%,8.72%,150.13%,79.81%,0.32,0.59,0.26,0.51,0.94,0.70,1.26,0.94,1 222 278 000,2.36,165 259 000,0.32,0.75,0.94,0.31,1.38,1.43,0.43,0.82,0.08,0.26,3.90,93,126,30.94,12,2.17,0.77,0.57,105,-21
ACP,2008/Q4,43.87,1.08,4.15,11.43,35.93,1.32,6.37,7.44,-6.26,,46.89,1.31,6.15,7.36,9.45%,5.61%,17.74%,11.54%,17.83%,17.70%,35.04%,8.63%,65.92%,54.36%,0.34,0.57,0.24,0.42,0.99,0.73,1.33,1.06,1 435 049 000,2.42,-39 248 000,-0.07,0.80,0.99,0.40,1.22,1.28,0.45,0.72,0.06,0.19,4.13,88,125,32.15,11,2.28,0.78,0.58,99,-26
ACP,2009/Q1,45.94,0.95,4.46,9.81,39.73,1.10,6.83,6.40,-6.20,,44.70,1.12,5.40,6.55,9.70%,5.95%,17.18%,11.21%,17.22%,16.90%,34.18%,9.11%,73.61%,361.18%,0.32,0.52,0.22,0.45,0.98,0.75,1.35,1.08,1 427 340 000,2.22,77 217 000,0.12,0.80,0.98,0.34,1.22,1.27,0.39,0.74,0.05,0.15,4.02,91,123,33.53,11,2.25,0.77,0.57,102,-21
ACP,2009/Q2,45.61,1.19,4.48,12.16,39.14,1.39,7.05,7.72,-2.56,,56.02,1.43,6.63,7.94,9.82%,6.33%,18.02%,11.44%,17.95%,16.44%,35.35%,9.97%,71.05%,137.20%,0.26,0.40,0.13,0.78,0.93,0.73,1.17,0.96,1 079 143 000,1.65,121 939 000,0.19,0.83,0.93,0.30,1.21,1.26,0.34,0.78,0.04,0.13,3.93,93,122,37.52,10,2.29,0.73,0.55,103,-19
ACP,2009/Q3,46.46,1.33,4.81,12.86,38.44,1.61,7.05,8.77,-0.59,,62.16,1.62,7.35,8.82,10.34%,6.71%,18.34%,12.50%,18.01%,17.52%,35.43%,9.84%,74.17%,90.57%,0.23,0.36,0.11,0.89,0.93,0.72,1.04,0.87,915 042 000,1.40,28 052 000,0.04,0.84,0.93,0.40,1.31,1.39,0.42,0.80,0.06,0.19,3.88,94,125,33.69,11,2.26,0.69,0.53,105,-20
ACP,2009/Q4,47.47,1.33,4.81,13.08,39.32,1.60,6.78,9.29,-1.34,,62.90,1.60,7.55,9.28,10.14%,6.53%,17.23%,12.24%,17.05%,16.81%,34.20%,9.19%,85.10%,137.45%,0.24,0.38,0.13,0.78,0.94,0.73,1.08,0.90,1 043 367 000,1.62,-3 600 000,-0.01,0.83,0.94,0.37,1.34,1.39,0.38,0.88,0.06,0.19,3.97,92,116,37.69,10,2.39,0.70,0.54,102,-14
ACP,2010/Q1,47.74,1.19,5.08,11.19,39.07,1.45,6.86,8.28,-1.95,,57.78,1.48,6.84,8.42,10.64%,6.90%,17.56%,12.99%,17.40%,17.88%,34.40%,9.33%,87.21%,100.62%,0.24,0.37,0.13,1.00,0.93,0.73,1.12,0.93,1 050 482 000,1.60,76 270 000,0.12,0.83,0.93,0.35,1.29,1.35,0.36,0.81,0.06,0.17,4.02,91,111,37.07,10,2.44,0.69,0.54,101,-10
ACP,2010/Q2,51.26,1.05,5.19,10.41,39.78,1.36,6.79,7.95,1.39,38.81,51.25,1.29,6.11,7.54,10.12%,6.80%,17.08%,13.04%,16.99%,16.93%,33.68%,8.91%,77.64%,59.67%,0.22,0.33,0.11,1.14,0.98,0.74,0.92,0.81,785 412 000,1.21,-213 409 000,-0.33,0.88,0.98,0.58,1.55,1.60,0.59,0.86,0.09,0.28,4.08,89,107,37.48,10,2.38,0.70,0.54,99,-8
ACP,2010/Q3,52.33,1.00,5.28,9.94,40.32,1.30,7.05,7.45,0.72,73.34,51.56,1.28,5.94,7.32,10.10%,6.96%,17.47%,13.10%,17.45%,17.20%,33.82%,9.28%,83.88%,98.51%,0.20,0.29,0.10,1.16,0.96,0.76,0.95,0.83,799 513 000,1.19,-73 196 000,-0.11,0.87,0.96,0.47,1.56,1.62,0.48,0.96,0.08,0.24,4.13,88,101,41.23,9,2.43,0.69,0.54,97,-4
ACP,2010/Q4,0.00,,5.35,9.90,41.74,1.27,7.34,7.23,4.34,12.22,49.52,1.19,5.53,6.75,,4.90%,17.57%,12.82%,17.36%,15.35%,33.26%,6.72%,61.40%,48.17%,0.25,,,0.75,,,0.86,,1 160 500 000,1.67,-269 800 000,-0.39,,0.11,0.55,1.67,1.71,0.67,0.93,0.12,0.50,3.64,100,112,38.97,9,2.05,0.66,0.50,109,-3
ACP,2011/Q1,58.91,0.91,5.37,10.03,48.27,1.12,8.11,6.64,6.49,8.30,49.68,1.03,5.04,6.12,9.12%,5.33%,16.81%,11.13%,16.63%,14.53%,32.00%,8.04%,55.91%,45.74%,0.24,0.41,0.13,0.88,0.95,0.66,0.79,0.66,882 100 000,1.15,-327 400 000,-0.43,0.84,0.95,0.67,1.84,1.89,0.78,0.97,0.14,0.46,3.72,98,105,45.59,8,2.01,0.73,0.53,106,1
ACP,2011/Q2,57.94,0.86,5.06,9.80,53.19,0.93,8.47,5.85,4.90,10.11,48.38,0.91,4.63,5.71,8.73%,4.80%,15.92%,9.51%,15.72%,14.39%,31.17%,8.03%,61.58%,73.77%,0.22,0.39,0.14,0.91,0.85,0.62,0.82,0.61,1 032 900 000,1.28,-91 500 000,-0.11,0.75,0.85,0.55,1.80,1.85,0.64,1.08,0.12,0.37,3.65,100,102,48.81,7,2.02,0.74,0.54,107,5
ACP,2011/Q3,61.20,0.66,5.03,8.04,58.91,0.69,8.52,4.75,6.54,6.19,38.93,0.66,3.67,4.57,8.22%,4.46%,14.46%,8.54%,14.34%,13.75%,29.50%,7.56%,60.18%,59.18%,0.21,0.38,0.14,0.86,0.84,0.62,0.78,0.58,993 500 000,1.21,-119 800 000,-0.15,0.74,0.84,0.60,1.97,2.04,0.72,1.17,0.13,0.39,3.56,103,99,49.47,7,1.97,0.76,0.55,110,11
ACP,2011/Q4,62.67,0.77,5.12,9.47,63.95,0.76,8.31,5.84,5.69,8.52,46.18,0.72,4.27,5.56,8.17%,4.19%,13.00%,8.01%,13.11%,14.40%,28.21%,6.80%,72.69%,74.67%,0.26,0.50,0.17,0.73,0.86,0.60,0.85,0.62,1 326 200 000,1.58,-180 200 000,-0.21,0.74,0.86,0.61,1.76,1.80,0.69,1.00,0.13,0.38,3.68,99,95,55.66,7,2.05,0.81,0.58,106,11
ACP,2012/Q1,62.73,0.79,5.21,9.56,64.94,0.77,8.17,6.10,6.04,8.26,48.80,0.75,4.49,5.98,8.31%,4.26%,12.58%,8.03%,12.63%,14.26%,27.65%,6.67%,64.14%,101.41%,0.24,0.47,0.19,0.71,0.86,0.61,0.83,0.60,1 357 000 000,1.61,-81 300 000,-0.10,0.72,0.86,0.59,1.96,2.00,0.68,1.19,0.15,0.40,3.46,105,96,56.59,6,2.00,0.78,0.56,111,15
ACP,2012/Q2,61.85,0.79,5.28,9.24,68.16,0.72,8.22,5.94,4.10,11.91,50.81,0.75,4.58,6.18,8.54%,4.21%,12.06%,7.75%,12.06%,13.82%,26.80%,6.56%,63.20%,108.56%,0.26,0.52,0.20,0.71,0.83,0.59,0.89,0.62,1 661 500 000,1.93,155 700 000,0.18,0.70,0.83,0.49,1.77,1.82,0.54,1.14,0.13,0.35,3.34,109,98,55.68,7,1.97,0.79,0.56,116,18
ACP,2012/Q3,61.76,0.72,4.96,9.01,70.02,0.64,8.19,5.45,5.14,8.70,45.81,0.65,4.05,5.59,8.03%,4.14%,11.70%,7.08%,11.86%,12.67%,26.82%,6.84%,57.46%,48.94%,0.23,0.45,0.19,0.73,0.84,0.61,0.84,0.60,1 185 300 000,1.35,87 400 000,0.10,0.71,0.84,0.70,2.00,2.05,0.77,1.13,0.14,0.35,3.39,108,97,60.66,6,1.98,0.80,0.57,114,17
ACP,2012/Q4,62.14,0.73,4.46,10.17,66.62,0.68,7.83,5.79,5.21,8.70,45.23,0.68,4.22,5.78,7.18%,3.84%,11.75%,6.69%,11.61%,11.99%,26.69%,6.74%,54.46%,85.74%,0.25,0.47,0.17,0.77,0.89,0.63,0.85,0.64,1 340 000 000,1.51,-9 900 000,-0.01,0.76,0.89,0.63,1.82,1.87,0.71,1.05,0.14,0.35,3.45,106,94,58.49,6,2.02,0.81,0.58,112,18
ACP,2013/Q1,63.92,0.66,4.31,9.74,67.48,0.62,7.80,5.39,5.35,7.84,39.78,0.59,3.69,5.10,6.75%,3.67%,11.55%,6.39%,11.47%,11.31%,26.51%,6.64%,54.46%,25.92%,0.23,0.43,0.17,0.78,0.88,0.64,0.84,0.63,1 175 800 000,1.31,-184 000 000,-0.21,0.75,0.88,0.74,1.96,2.02,0.81,1.06,0.14,0.35,3.62,101,92,54.39,7,2.05,0.82,0.58,108,16
ACP,2013/Q2,63.31,0.67,4.28,9.96,68.03,0.63,7.76,5.49,3.16,13.47,44.48,0.65,4.11,5.73,6.75%,3.61%,11.40%,6.29%,11.37%,10.97%,26.33%,6.56%,48.61%,27.94%,0.25,0.46,0.19,0.73,0.87,0.64,0.90,0.66,1 516 900 000,1.69,157 800 000,0.18,0.74,0.87,0.56,1.79,1.86,0.63,1.10,0.13,0.32,3.77,97,90,50.20,7,2.10,0.81,0.59,104,14
ACP,2013/Q3,63.21,0.77,4.27,11.40,68.95,0.71,7.67,6.34,3.52,13.84,51.63,0.75,4.76,6.73,6.76%,3.67%,11.13%,6.19%,10.90%,10.70%,25.79%,6.59%,55.58%,184.13%,0.24,0.44,0.19,0.74,0.88,0.64,0.89,0.66,1 512 600 000,1.68,246 700 000,0.27,0.74,0.88,0.53,1.87,1.95,0.59,1.18,0.13,0.32,3.71,98,90,44.66,8,2.11,0.82,0.59,106,16
ACP,2013/Q4,63.22,0.73,4.75,9.69,71.06,0.65,7.36,6.25,5.25,8.76,47.72,0.67,4.53,6.49,7.51%,3.96%,10.35%,6.68%,10.40%,12.75%,24.66%,6.15%,52.35%,167.68%,0.25,0.48,0.17,0.79,0.88,0.62,0.85,0.64,1 656 300 000,1.89,145 100 000,0.17,0.75,0.88,0.46,1.75,1.80,0.52,0.98,0.13,0.31,3.82,95,89,44.53,8,2.16,0.84,0.60,103,14
ACP,2014/Q1,64.43,0.73,4.80,9.77,72.32,0.65,7.11,6.61,7.97,5.89,45.11,0.62,4.38,6.35,7.46%,3.88%,9.83%,6.64%,9.86%,12.70%,24.23%,5.74%,63.81%,83.25%,0.25,0.48,0.21,0.71,0.91,0.63,0.79,0.60,1 195 400 000,1.40,-153 100 000,-0.18,0.76,0.91,0.87,2.17,2.24,0.94,1.12,0.17,0.41,3.78,96,89,43.10,8,2.10,0.85,0.60,104,15
ACP,2014/Q2,62.77,0.66,4.78,8.60,72.61,0.57,6.96,5.91,5.81,7.08,40.82,0.56,4.00,5.87,7.62%,3.96%,9.58%,6.59%,9.72%,12.43%,23.76%,5.76%,54.40%,85.06%,0.25,0.48,0.20,0.70,0.88,0.62,0.84,0.62,1 301 000 000,1.54,-25 700 000,-0.03,0.74,0.88,0.76,2.02,2.06,0.82,1.11,0.15,0.35,3.79,96,88,49.01,7,2.06,0.85,0.60,103,15
ACP,2014/Q3,62.97,0.74,4.82,9.67,73.60,0.63,7.07,6.59,7.54,6.18,46.40,0.63,4.51,6.56,7.65%,3.95%,9.61%,6.55%,9.82%,12.54%,23.76%,5.80%,52.04%,89.46%,0.23,0.45,0.19,0.74,0.87,0.61,0.79,0.58,1 192 000 000,1.40,-16 500 000,-0.02,0.73,0.87,0.73,2.11,2.17,0.85,1.19,0.16,0.37,3.80,96,88,55.37,7,2.02,0.86,0.61,103,15
ACP,2014/Q4,63.65,0.80,4.32,11.81,75.08,0.68,7.67,6.65,8.86,5.76,48.59,0.65,4.46,6.33,6.78%,3.36%,10.22%,5.75%,10.41%,10.43%,24.39%,5.96%,52.21%,66.28%,0.25,0.51,0.19,0.73,0.87,0.59,0.79,0.57,1 339 500 000,1.48,-200 300 000,-0.22,0.73,0.87,0.71,1.97,2.00,0.80,1.10,0.16,0.39,3.71,98,87,62.74,6,1.98,0.87,0.61,104,17
ACP,2015/Q1,63.32,0.93,4.08,14.46,76.79,0.77,7.88,7.48,8.84,6.68,56.06,0.73,5.05,7.11,6.45%,3.10%,10.27%,5.31%,10.54%,10.15%,24.30%,5.99%,41.20%,137.67%,0.25,0.52,0.19,0.78,0.84,0.57,0.79,0.56,1 275 000 000,1.38,-244 000 000,-0.26,0.71,0.84,0.75,1.93,1.97,0.83,1.02,0.16,0.38,3.68,99,90,72.17,5,1.98,0.88,0.61,104,14
ACP,2015/Q2,61.83,0.94,3.77,15.35,79.81,0.73,8.13,7.12,5.86,9.88,59.20,0.74,5.24,7.28,6.10%,2.86%,10.19%,4.73%,10.48%,9.83%,24.39%,6.17%,46.29%,255.04%,0.26,0.56,0.19,0.80,0.81,0.56,0.86,0.58,1 672 400 000,1.78,106 800 000,0.11,0.68,0.81,0.57,1.71,1.76,0.63,1.00,0.13,0.31,3.65,100,93,67.78,5,2.00,0.90,0.62,105,12
ACP,2015/Q3,62.84,0.86,3.97,13.61,83.05,0.65,8.57,6.30,5.33,10.14,57.16,0.69,4.84,6.67,6.32%,2.91%,10.32%,4.78%,10.61%,9.96%,24.36%,6.29%,41.98%,77.29%,0.29,0.62,0.25,0.59,0.85,0.58,0.88,0.60,1 850 800 000,1.89,261 400 000,0.27,0.68,0.85,0.64,1.86,1.92,0.72,1.07,0.16,0.35,3.60,101,97,61.81,6,1.97,0.92,0.63,107,10
ACP,2015/Q4,64.60,0.88,4.40,12.90,87.42,0.65,8.98,6.33,6.60,8.60,56.48,0.65,4.65,6.29,6.82%,3.03%,10.27%,5.04%,10.40%,10.22%,24.11%,6.18%,43.20%,64.89%,0.31,0.69,0.25,0.59,0.86,0.55,0.87,0.60,1 912 300 000,1.90,-26 300 000,-0.03,0.69,0.86,0.67,1.76,1.79,0.75,0.94,0.16,0.36,3.63,101,100,63.02,6,1.96,0.95,0.64,107,7
ACP,2016/Q1,65.50,0.93,4.26,14.23,90.46,0.67,9.24,6.56,7.27,8.34,60.53,0.67,4.85,6.55,6.50%,2.99%,10.21%,4.71%,10.32%,9.88%,24.02%,6.50%,41.55%,63.46%,0.29,0.64,0.23,0.61,0.87,0.57,0.85,0.60,1 634 300 000,1.58,-4 700 000,-0.00,0.70,0.87,0.71,1.81,1.84,0.83,0.90,0.16,0.34,3.67,99,103,64.63,6,1.95,0.98,0.65,105,2
ACP,2016/Q2,64.05,0.82,4.46,11.70,93.03,0.56,9.33,5.60,4.80,10.87,56.20,0.60,4.44,6.03,6.97%,3.11%,10.02%,4.80%,10.02%,9.99%,23.75%,6.49%,44.72%,93.01%,0.30,0.67,0.23,0.64,0.82,0.55,0.90,0.60,2 004 900 000,1.91,331 300 000,0.32,0.67,0.82,0.55,1.65,1.69,0.66,0.91,0.14,0.29,3.68,99,105,67.47,5,1.94,0.99,0.66,104,-1
ACP,2016/Q3,64.92,0.86,4.22,13.19,94.81,0.59,9.37,5.94,4.29,13.00,59.89,0.63,4.69,6.39,6.50%,2.98%,9.89%,4.45%,9.89%,9.64%,23.67%,6.61%,39.43%,141.58%,0.28,0.61,0.23,0.64,0.82,0.56,0.90,0.60,1 935 700 000,1.83,346 600 000,0.33,0.66,0.82,0.53,1.72,1.75,0.66,0.97,0.13,0.27,3.75,97,105,75.67,5,1.97,1.00,0.66,102,-3
ACP,2016/Q4,66.33,0.81,3.63,14.86,95.57,0.56,9.27,5.82,2.54,21.21,58.27,0.61,4.52,6.29,5.47%,2.36%,9.70%,3.80%,9.64%,9.11%,23.53%,6.02%,34.11%,,0.32,0.75,0.30,0.48,0.84,0.56,0.95,0.62,2 384 600 000,2.23,357 700 000,0.33,0.65,0.84,0.60,1.71,1.74,0.70,0.94,0.14,0.32,3.74,98,105,75.42,5,1.98,0.98,0.66,103,-2
ACP,2017/Q1,66.89,0.81,3.57,15.20,98.26,0.55,9.02,6.02,-2.21,,62.44,0.64,4.90,6.92,5.34%,2.33%,9.18%,3.64%,9.15%,8.41%,22.96%,5.89%,38.33%,,0.32,0.74,0.31,0.45,0.82,0.57,1.05,0.66,2 736 800 000,2.59,675 500 000,0.64,0.63,0.82,0.50,1.61,1.63,0.56,0.96,0.12,0.25,3.71,98,104,81.55,4,2.06,0.98,0.66,102,-2
ACP,2017/Q2,64.34,0.76,3.27,14.90,100.28,0.49,8.63,5.65,-5.58,,60.52,0.60,4.87,7.01,5.09%,2.16%,8.60%,3.26%,8.63%,7.55%,22.27%,5.70%,31.51%,,0.34,0.80,0.30,0.50,0.79,0.55,1.12,0.68,3 046 100 000,2.95,975 400 000,0.94,0.61,0.79,0.41,1.41,1.43,0.46,0.87,0.09,0.19,3.71,98,105,88.51,4,2.12,0.98,0.67,102,-3
ACP,2017/Q3,67.67,0.68,5.77,8.03,92.32,0.50,7.58,6.10,4.86,9.53,45.71,0.50,4.10,6.03,8.52%,6.54%,8.21%,6.25%,8.27%,11.10%,21.88%,8.60%,78.65%,6.81%,0.16,0.21,0.06,2.01,1.04,0.82,0.75,0.73,644 200 000,0.70,-48 200 000,-0.05,0.98,1.04,0.59,1.86,1.92,0.66,1.11,0.10,0.13,3.90,94,100,90.63,4,2.25,0.96,0.68,98,-2
ACP,2017/Q4,67.49,0.65,5.62,7.82,94.34,0.47,7.05,6.24,-2.01,,48.31,0.51,4.35,6.86,8.33%,3.03%,7.47%,5.96%,7.66%,9.92%,21.35%,3.80%,67.49%,38.47%,0.30,0.81,0.35,0.43,0.69,0.49,1.04,0.53,2 925 600 000,3.17,359 800 000,0.39,0.51,0.69,0.60,1.66,1.69,0.63,0.97,0.12,0.31,3.89,94,99,94.39,4,2.29,0.91,0.65,98,-1
ACP,2018/Q1,67.92,0.66,5.72,7.87,95.32,0.47,7.07,6.36,-1.70,,50.07,0.53,4.33,7.08,8.42%,3.12%,7.42%,6.00%,7.60%,10.26%,20.99%,3.86%,64.75%,,0.29,0.78,0.33,0.44,0.69,0.49,1.03,0.53,2 779 500 000,2.90,421 200 000,0.44,0.52,0.69,0.61,1.65,1.68,0.64,0.93,0.11,0.30,3.90,94,99,90.43,4,2.25,0.87,0.63,98,-1
ACP,2018/Q2,67.16,0.60,5.59,7.16,97.93,0.41,7.79,5.14,-4.39,,48.55,0.50,3.82,6.23,8.32%,3.86%,7.96%,5.71%,8.14%,10.96%,21.50%,5.37%,60.97%,,0.39,0.84,0.32,0.48,0.95,0.61,1.08,0.78,3 157 700 000,3.00,706 100 000,0.67,0.72,0.95,0.50,1.47,1.49,0.53,0.86,0.12,0.24,3.93,93,99,89.90,4,2.23,0.92,0.65,97,-2
ACP,2018/Q3,67.53,0.71,3.61,13.19,109.70,0.43,8.64,5.52,-1.50,,54.94,0.50,3.86,6.36,5.35%,2.47%,7.88%,3.29%,8.02%,7.27%,21.15%,5.90%,33.04%,,0.39,0.84,0.31,0.48,0.97,0.60,1.03,0.76,2 996 100 000,2.53,604 200 000,0.51,0.74,0.97,0.55,1.52,1.55,0.57,0.88,0.13,0.24,3.67,100,110,88.42,4,2.08,0.98,0.66,104,-6
ACP,2018/Q4,68.89,0.67,4.02,11.49,112.39,0.41,9.60,4.80,0.17,277.39,49.79,0.44,3.29,5.19,5.83%,2.64%,8.54%,3.57%,8.67%,8.30%,21.32%,6.30%,33.31%,67.91%,0.39,0.87,0.33,0.44,0.99,0.60,1.00,0.75,3 039 700 000,2.42,305 000 000,0.24,0.75,0.99,0.58,1.57,1.60,0.62,0.82,0.15,0.27,3.74,97,112,84.80,4,2.06,1.10,0.72,101,-11
ACP,2019/Q1,70.11,0.74,4.14,12.52,116.05,0.45,10.29,5.04,-7.21,,66.71,0.57,4.13,6.48,5.91%,2.48%,8.87%,3.57%,9.01%,8.44%,21.60%,6.15%,29.69%,66.86%,0.43,1.03,0.45,0.55,0.99,0.61,1.11,0.76,4 035 600 000,3.01,1 229 000 000,0.92,0.68,0.99,0.54,1.56,1.59,0.58,0.91,0.14,0.28,3.60,101,117,82.91,4,2.00,1.22,0.76,105,-12
ACP,2019/Q2,67.57,0.79,4.61,11.57,118.79,0.45,10.59,5.03,-9.98,,69.19,0.58,4.07,6.53,6.82%,2.79%,8.92%,3.88%,9.01%,8.45%,21.42%,6.42%,34.64%,51.91%,0.44,1.07,0.46,0.58,0.96,0.60,1.16,0.77,4 048 500 000,2.87,1 318 900 000,0.93,0.66,0.96,0.54,1.47,1.50,0.57,0.82,0.13,0.24,3.56,103,120,77.74,5,1.96,1.22,0.75,108,-12
